Baseline_data_(from_ENTSO-E_max_values),Assumption,Baseline_+_Assumption,Commentaries,source
1344.0,1.0,1344.0,"844MWbuilyin2025,correspondingtoprojectsunderconstructionandexpectedtobecomeeffectiveby2025",
1844.0,1.0,1844.0,"500MWbuiltin2030,additionalto2025capacities",
1844.0,1.0,1844.0,,
2574.0,1.0,2574.0,"730MWbuiltin2040,additionalto2025capacities",
2574.0,1.0,2574.0,,
2574.0,1.0,2574.0,,
2574.0,1.0,2574.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
600.0,1.0,600.0,,https://transparency.entsoe.eu/transmission-domain/ntcYear/show?name=&defaultValue=false&viewType=TABLE&areaType=BORDER_BZN&atch=false&dateTime.dateTime=01.01.2022+00:00|UTC|YEAR&border.values=CTY|10YCS-SERBIATSOV!BZN_BZN|10YCS-SERBIATSOV_BZN_BZN|10YHR-HEP------M&direction.values=Export&direction.values=Import
600.0,1.0,600.0,,
2200.0,1.0,2200.0,"1600MWbuiltin2030,additionalto2025capacities",
2200.0,1.0,2200.0,,
2200.0,1.0,2200.0,,
2200.0,1.0,2200.0,,
2200.0,1.0,2200.0,,
2200.0,1.0,2200.0,,
1500.0,1.0,1500.0,,
1650.0,1.0,1650.0,"150MWbuiltin2025,correspondingtoprojectsunderconstructionandexpectedtobecomeeffectiveby2025",
1650.0,1.0,1650.0,,
1650.0,1.0,1650.0,,
3650.0,1.0,3650.0,"2000MWbuiltin2040,additionalto2025capacities",
3650.0,1.0,3650.0,,
3650.0,1.0,3650.0,,
3650.0,1.0,3650.0,,
2100.0,1.0,2100.0,,
2600.0,1.0,2600.0,"500MWbuiltin2025,correspondingtoprojectsunderconstructionandexpectedtobecomeeffectiveby2025",
3100.0,1.0,3100.0,"500MW2030,additionalto2025capacities",
3100.0,1.0,3100.0,,
4250.0,1.0,4250.0,"1150MW2040,additionalto2025capacities",
4250.0,1.0,4250.0,,
4250.0,1.0,4250.0,,
4250.0,1.0,4250.0,,
800.0,1.0,800.0,,
800.0,1.0,800.0,,
800.0,1.0,800.0,,
800.0,1.0,800.0,,
1800.0,1.0,1800.0,"1000MW2040,additionalto2025capacities",
1800.0,1.0,1800.0,,
1800.0,1.0,1800.0,,
1800.0,1.0,1800.0,,
1800.0,1.0,1800.0,,
1800.0,1.0,1800.0,,
1800.0,1.0,1800.0,,
1800.0,1.0,1800.0,,
2300.0,1.0,2300.0,"500MW2040,additionalto2025capacities",
2300.0,1.0,2300.0,,
2300.0,1.0,2300.0,,
2300.0,1.0,2300.0,,
1400.0,1.0,1400.0,,
