time,hour,dayofweek,month,East,North,West
2018-02-27 19:00:00,19,1,2,164821.8175,122165.41333333332,220102.65
2018-02-27 20:00:00,20,1,2,156313.0725,119433.33666666666,209946.09999999998
2018-02-27 21:00:00,21,1,2,149440.26750000005,112867.42833333333,201247.5125
2018-02-27 22:00:00,22,1,2,141204.82749999998,105093.54333333332,193221.97499999998
2018-02-27 23:00:00,23,1,2,135070.17250000002,100107.57833333331,183349.0075
2018-02-28 00:00:00,0,2,2,131520.9625,99140.81166666666,176990.755
2018-02-28 01:00:00,1,2,2,128918.60250000001,98847.89333333333,173149.245
2018-02-28 02:00:00,2,2,2,127610.22750000001,98163.51333333332,169196.35749999998
2018-02-28 03:00:00,3,2,2,129874.49250000001,98261.95833333334,168416.66
2018-02-28 04:00:00,4,2,2,137240.395,99141.02166666667,173955.70249999998
2018-02-28 05:00:00,5,2,2,152807.88,105160.81333333334,189475.23500000002
2018-02-28 06:00:00,6,2,2,163845.645,114891.16000000002,205668.8125
2018-02-28 07:00:00,7,2,2,169725.2075,122334.69166666668,218999.46
2018-02-28 08:00:00,8,2,2,170686.05500000002,124099.84,226364.40500000003
2018-02-28 09:00:00,9,2,2,170637.50999999998,125270.25833333333,227725.27
2018-02-28 10:00:00,10,2,2,169610.745,125930.37666666665,227494.29
2018-02-28 11:00:00,11,2,2,167731.66,125003.55,223848.0975
2018-02-28 12:00:00,12,2,2,165854.2675,124560.305,220593.67
2018-02-28 13:00:00,13,2,2,164454.965,122501.30833333332,218228.245
2018-02-28 14:00:00,14,2,2,162884.275,120621.625,216335.0675
2018-02-28 15:00:00,15,2,2,162404.095,121507.285,215723.8725
2018-02-28 16:00:00,16,2,2,167301.125,124417.90166666667,216897.34249999997
2018-02-28 17:00:00,17,2,2,174455.275,125386.92333333335,222831.8925
2018-02-28 18:00:00,18,2,2,173305.56000000003,126672.88666666666,227297.77000000002
2018-02-28 19:00:00,19,2,2,166427.06249999997,125978.09166666667,219468.3325
2018-02-28 20:00:00,20,2,2,158512.705,122901.41166666668,208630.625
2018-02-28 21:00:00,21,2,2,152673.6275,115407.03166666665,199920.84000000003
2018-02-28 22:00:00,22,2,2,144306.80000000002,106759.68333333333,191736.8375
2018-02-28 23:00:00,23,2,2,137694.565,101819.38833333334,181470.2225
2018-03-01 00:00:00,0,3,3,133703.20500000002,100274.38666666666,173869.21
2018-03-01 01:00:00,1,3,3,130773.66750000001,99495.60666666667,169078.71
2018-03-01 02:00:00,2,3,3,129689.575,98129.81333333332,164958.35749999998
2018-03-01 03:00:00,3,3,3,131811.0175,98383.08666666667,163691.76249999998
2018-03-01 04:00:00,4,3,3,138593.2325,99614.07833333331,168847.1
2018-03-01 05:00:00,5,3,3,153533.9025,104327.015,183545.51249999998
2018-03-01 06:00:00,6,3,3,165058.1025,115384.40666666666,200016.675
2018-03-01 07:00:00,7,3,3,169446.31749999998,120169.75,213412.3725
2018-03-01 08:00:00,8,3,3,169683.7875,124254.735,221812.6625
2018-03-01 09:00:00,9,3,3,168948.905,127045.00000000001,223911.81749999998
2018-03-01 10:00:00,10,3,3,168699.02,127650.75333333334,223535.2
2018-03-01 11:00:00,11,3,3,168045.25499999998,127746.48333333332,219618.44
2018-03-01 12:00:00,12,3,3,166219.6475,126649.635,215537.715
2018-03-01 13:00:00,13,3,3,164609.3725,126130.98833333333,212411.26
2018-03-01 14:00:00,14,3,3,163023.8775,124072.81499999997,211077.625
2018-03-01 15:00:00,15,3,3,162203.1,123612.5,209824.765
2018-03-01 16:00:00,16,3,3,166388.8125,125982.29000000001,209428.8175
2018-03-01 17:00:00,17,3,3,172304.18500000003,128452.65666666665,214513.95
2018-03-01 18:00:00,18,3,3,171066.32249999998,128740.51,219097.76
2018-03-01 19:00:00,19,3,3,163557.44750000004,124635.01166666666,211762.005
2018-03-01 20:00:00,20,3,3,155193.5,119327.95833333331,200569.39
2018-03-01 21:00:00,21,3,3,149177.8725,112621.19666666667,191194.35249999998
2018-03-01 22:00:00,22,3,3,140649.38,103658.15166666667,183421.785
2018-03-01 23:00:00,23,3,3,135721.0675,99342.61499999999,172774.31
2018-03-02 00:00:00,0,4,3,132080.45,98201.77166666665,165648.44
2018-03-02 01:00:00,1,4,3,129604.41,97243.23666666668,161370.865
2018-03-02 02:00:00,2,4,3,128637.455,96640.95166666668,157255.81999999998
2018-03-02 03:00:00,3,4,3,129971.205,97053.43333333332,156214.1525
2018-03-02 04:00:00,4,4,3,136792.85,99577.62333333334,161211.6
2018-03-02 05:00:00,5,4,3,151292.215,104268.75166666668,176230.44749999998
2018-03-02 06:00:00,6,4,3,163192.3225,113727.23333333334,192476.2125
2018-03-02 07:00:00,7,4,3,169660.30000000002,119179.43666666668,206370.2675
2018-03-02 08:00:00,8,4,3,170496.92500000002,123626.06833333334,214296.62
2018-03-02 09:00:00,9,4,3,170035.9175,126366.125,215870.285
2018-03-02 10:00:00,10,4,3,169525.0875,126432.73333333332,215911.7075
2018-03-02 11:00:00,11,4,3,168037.62000000002,126001.365,212463.125
2018-03-02 12:00:00,12,4,3,165208.1525,125637.69333333333,209032.9
2018-03-02 13:00:00,13,4,3,163146.0825,123887.32166666666,204561.5575
2018-03-02 14:00:00,14,4,3,160956.05,122412.155,200255.46
2018-03-02 15:00:00,15,4,3,159523.3525,121302.37499999999,197694.89250000002
2018-03-02 16:00:00,16,4,3,163219.72499999998,122904.75166666666,196535.9975
2018-03-02 17:00:00,17,4,3,167427.58999999997,126355.04333333333,202423.65
2018-03-02 18:00:00,18,4,3,165562.5825,126109.40166666667,205327.96249999997
2018-03-02 19:00:00,19,4,3,157874.16,121122.79,201473.31
2018-03-02 20:00:00,20,4,3,149201.31999999998,115797.05,191511.5575
2018-03-02 21:00:00,21,4,3,143708.08999999997,109624.425,184259.3575
2018-03-02 22:00:00,22,4,3,137339.48500000002,101886.09333333335,178247.185
2018-03-02 23:00:00,23,4,3,129637.74,96810.94499999999,167982.5725
2018-03-03 00:00:00,0,5,3,125096.72750000001,95084.97833333332,160145.3725
2018-03-03 01:00:00,1,5,3,122054.86750000001,93983.46500000001,154170.3075
2018-03-03 02:00:00,2,5,3,120535.3875,92926.58833333333,149189.0375
2018-03-03 03:00:00,3,5,3,120499.69250000002,92805.66666666667,146037.815
2018-03-03 04:00:00,4,5,3,121689.48500000002,93130.78166666668,146874.6525
2018-03-03 05:00:00,5,5,3,124592.8925,94754.20666666667,151685.215
2018-03-03 06:00:00,6,5,3,132718.2525,98812.065,157589.2825
2018-03-03 07:00:00,7,5,3,141190.91499999998,103045.68999999999,167060.78
2018-03-03 08:00:00,8,5,3,146267.5175,108506.15833333334,177856.775
2018-03-03 09:00:00,9,5,3,148216.00749999998,113285.26333333332,182064.285
2018-03-03 10:00:00,10,5,3,147766.985,114362.31166666666,181505.47
2018-03-03 11:00:00,11,5,3,144856.745,113951.62333333335,179101.1875
2018-03-03 12:00:00,12,5,3,140633.57499999998,113153.19833333335,173920.085
2018-03-03 13:00:00,13,5,3,137802.5275,112356.01166666667,168207.91
2018-03-03 14:00:00,14,5,3,137153.0075,111152.31166666666,164111.16499999998
2018-03-03 15:00:00,15,5,3,137384.66,111591.685,161734.6725
2018-03-03 16:00:00,16,5,3,141454.1875,114859.84999999999,163393.685
2018-03-03 17:00:00,17,5,3,147425.00750000004,118988.97333333336,172513.01499999998
2018-03-03 18:00:00,18,5,3,145765.29249999998,118786.77499999998,180617.6425
2018-03-03 19:00:00,19,5,3,140033.68000000002,114287.56333333332,176200.825
2018-03-03 20:00:00,20,5,3,134201.4075,109509.055,169142.3375
2018-03-03 21:00:00,21,5,3,130452.345,105017.45666666667,165194.85249999998
2018-03-03 22:00:00,22,5,3,124067.38500000001,99876.23499999999,161055.47249999997
2018-03-03 23:00:00,23,5,3,117726.57,94214.7933333333,152260.5875
2018-03-04 00:00:00,0,6,3,113359.10750000001,92771.17666666667,144902.705
2018-03-04 01:00:00,1,6,3,110578.66,91726.29333333333,139494.33250000002
2018-03-04 02:00:00,2,6,3,108986.465,90446.46833333332,134801.7575
2018-03-04 03:00:00,3,6,3,108660.6875,89513.59999999999,132292.8275
2018-03-04 04:00:00,4,6,3,108586.1575,89278.085,133219.3375
2018-03-04 05:00:00,5,6,3,108929.0,89578.09166666667,135298.89
2018-03-04 06:00:00,6,6,3,114589.85750000001,92594.92,136954.9025
2018-03-04 07:00:00,7,6,3,122402.935,96011.21166666666,142739.34249999997
2018-03-04 08:00:00,8,6,3,128471.56499999999,100688.60166666665,150903.77
2018-03-04 09:00:00,9,6,3,131761.77,104500.925,156031.9025
2018-03-04 10:00:00,10,6,3,133194.3625,106285.03166666668,158393.7075
2018-03-04 11:00:00,11,6,3,131095.97,106918.01999999999,159538.16
2018-03-04 12:00:00,12,6,3,127299.7975,107738.66500000002,155797.05
2018-03-04 13:00:00,13,6,3,124956.4875,107878.13666666664,151402.37000000002
2018-03-04 14:00:00,14,6,3,123229.58249999999,107269.15000000001,148597.13749999998
