Node,Generator
Ireland,Bio10cofiringCCS
Italy,Bio10cofiringCCS
Lithuania,Bio10cofiringCCS
Luxemb.,Bio10cofiringCCS
Latvia,Bio10cofiringCCS
Netherlands,Bio10cofiringCCS
Poland,Bio10cofiringCCS
Portugal,Bio10cofiringCCS
Romania,Bio10cofiringCCS
Serbia,Bio10cofiringCCS
Sweden,Bio10cofiringCCS
Slovenia,Bio10cofiringCCS
Slovakia,Bio10cofiringCCS
BosniaH,LigniteCCSsup
Germany,LigniteCCSsup
Poland,LigniteCCSsup
Romania,LigniteCCSsup
Slovenia,LigniteCCSsup
Germany,CoalCCS
Spain,CoalCCS
France,CoalCCS
GreatBrit.,CoalCCS
Italy,CoalCCS
Netherlands,CoalCCS
Poland,CoalCCS
Romania,CoalCCS
Germany,GasCCS
Spain,GasCCS
France,GasCCS
GreatBrit.,GasCCS
Italy,GasCCS
Netherlands,GasCCS
Poland,GasCCS
Romania,GasCCS
NO1,Gasexisting
NO2,Gasexisting
NO3,Gasexisting
NO4,Gasexisting
NO5,Gasexisting
NO1,GasOCGT
NO2,GasOCGT
NO3,GasOCGT
NO4,GasOCGT
NO5,GasOCGT
NO1,GasCCGT
NO2,GasCCGT
NO3,GasCCGT
NO4,GasCCGT
NO5,GasCCGT
NO1,GasCCSadv
NO2,GasCCSadv
NO3,GasCCSadv
NO4,GasCCSadv
NO5,GasCCSadv
NO1,Bio10cofiring
NO2,Bio10cofiring
NO3,Bio10cofiring
NO4,Bio10cofiring
NO5,Bio10cofiring
NO1,Hydroregulated
NO2,Hydroregulated
NO3,Hydroregulated
NO4,Hydroregulated
NO5,Hydroregulated
NO1,Hydrorun-of-the-river
NO2,Hydrorun-of-the-river
NO3,Hydrorun-of-the-river
NO4,Hydrorun-of-the-river
NO5,Hydrorun-of-the-river
NO1,Bio
NO2,Bio
NO3,Bio
NO4,Bio
NO5,Bio
NO1,Windonshore
NO2,Windonshore
NO3,Windonshore
NO4,Windonshore
NO5,Windonshore
NO2,Windoffshoregrounded
NO3,Windoffshoregrounded
NO4,Windoffshoregrounded
NO5,Windoffshoregrounded
NO1,Solar
NO2,Solar
NO3,Solar
NO4,Solar
NO5,Solar
NO1,Bio10cofiringCCS
NO2,Bio10cofiringCCS
NO3,Bio10cofiringCCS
NO4,Bio10cofiringCCS
NO5,Bio10cofiringCCS
NO1,GasCCS
NO2,GasCCS
NO3,GasCCS
NO4,GasCCS
NO5,GasCCS
Austria,Waste
BosniaH,Waste
Belgium,Waste
Bulgaria,Waste
Switzerland,Waste
CzechR,Waste
Germany,Waste
Denmark,Waste
Estonia,Waste
Spain,Waste
Finland,Waste
France,Waste
GreatBrit.,Waste
Greece,Waste
Croatia,Waste
Hungary,Waste
Ireland,Waste
Italy,Waste
Lithuania,Waste
Luxemb.,Waste
Latvia,Waste
Macedonia,Waste
Netherlands,Waste
NO1,Waste
NO2,Waste
NO3,Waste
NO4,Waste
NO5,Waste
Poland,Waste
Portugal,Waste
Romania,Waste
Serbia,Waste
Sweden,Waste
Slovenia,Waste
Slovakia,Waste
Spain,Liginiteexisting
GreatBrit.,Hydrorun-of-the-river
Croatia,Bioexisting
Croatia,Hydrorun-of-the-river
Croatia,Geo
Lithuania,Liginiteexisting
Lithuania,Hydrorun-of-the-river
Macedonia,Gasexisting
Macedonia,Hydrorun-of-the-river
Macedonia,Bioexisting
Poland,Oilexisting
Serbia,Hydrorun-of-the-river
Slovakia,Hydrorun-of-the-river
BosniaH,Hydrorun-of-the-river
NO1,Bioexisting
NO2,Bioexisting
NO3,Bioexisting
NO4,Bioexisting
NO5,Bioexisting
MorayFirth,Windoffshoregrounded
FirthofForth,Windoffshoregrounded
DoggerBank,Windoffshoregrounded
Hornsea,Windoffshoregrounded
OuterDowsing,Windoffshoregrounded
Norfolk,Windoffshoregrounded
EastAnglia,Windoffshoregrounded
Borssele,Windoffshoregrounded
HollandseeKust,Windoffshoregrounded
HelgolanderBucht,Windoffshoregrounded
Nordsoen,Windoffshoregrounded
UtsiraNord,Windoffshoregrounded
SorligeNordsjoI,Windoffshoregrounded
SorligeNordsjoII,Windoffshoregrounded
Belgium,Windoffshorefloating
Germany,Windoffshorefloating
Denmark,Windoffshorefloating
Finland,Windoffshorefloating
Spain,Windoffshorefloating
France,Windoffshorefloating
GreatBrit.,Windoffshorefloating
Ireland,Windoffshorefloating
Netherlands,Windoffshorefloating
Sweden,Windoffshorefloating
NO2,Windoffshorefloating
NO3,Windoffshorefloating
NO4,Windoffshorefloating
NO5,Windoffshorefloating
MorayFirth,Windoffshorefloating
FirthofForth,Windoffshorefloating
DoggerBank,Windoffshorefloating
Hornsea,Windoffshorefloating
OuterDowsing,Windoffshorefloating
Norfolk,Windoffshorefloating
EastAnglia,Windoffshorefloating
Borssele,Windoffshorefloating
HollandseeKust,Windoffshorefloating
HelgolanderBucht,Windoffshorefloating
Nordsoen,Windoffshorefloating
UtsiraNord,Windoffshorefloating
