FromNode,ToNode,lineEfficiency
FirthofForth,HollandseeKust,0.97
HelgolanderBucht,HollandseeKust,0.97
Hornsea,HollandseeKust,0.97
MorayFirth,HollandseeKust,0.97
Netherlands,HollandseeKust,0.97
Nordsoen,HollandseeKust,0.97
Norfolk,HollandseeKust,0.97
OuterDowsing,HollandseeKust,0.97
SorligeNordsjoI,HollandseeKust,0.97
SorligeNordsjoII,HollandseeKust,0.97
UtsiraNord,HollandseeKust,0.97
Borssele,Hornsea,0.97
DoggerBank,Hornsea,0.97
EastAnglia,Hornsea,0.97
FirthofForth,Hornsea,0.97
GreatBrit.,Hornsea,0.97
HelgolanderBucht,Hornsea,0.97
HollandseeKust,Hornsea,0.97
MorayFirth,Hornsea,0.97
Nordsoen,Hornsea,0.97
Norfolk,Hornsea,0.97
OuterDowsing,Hornsea,0.97
SorligeNordsjoI,Hornsea,0.97
SorligeNordsjoII,Hornsea,0.97
UtsiraNord,Hornsea,0.97
Austria,Hungary,0.97
Croatia,Hungary,0.97
Romania,Hungary,0.97
Serbia,Hungary,0.97
Slovakia,Hungary,0.97
Slovenia,Hungary,0.97
France,Ireland,0.97
GreatBrit.,Ireland,0.97
Spain,Ireland,0.97
Austria,Italy,0.97
BosniaH,Italy,0.97
Croatia,Italy,0.97
France,Italy,0.97
Greece,Italy,0.97
Slovenia,Italy,0.97
Switzerland,Italy,0.97
Estonia,Latvia,0.97
Lithuania,Latvia,0.97
Sweden,Latvia,0.97
Latvia,Lithuania,0.97
Poland,Lithuania,0.97
Sweden,Lithuania,0.97
Belgium,Luxemb.,0.97
France,Luxemb.,0.97
Germany,Luxemb.,0.97
Bulgaria,Macedonia,0.97
Greece,Macedonia,0.97
Serbia,Macedonia,0.97
Borssele,MorayFirth,0.97
DoggerBank,MorayFirth,0.97
EastAnglia,MorayFirth,0.97
FirthofForth,MorayFirth,0.97
GreatBrit.,MorayFirth,0.97
HelgolanderBucht,MorayFirth,0.97
HollandseeKust,MorayFirth,0.97
Hornsea,MorayFirth,0.97
Nordsoen,MorayFirth,0.97
Norfolk,MorayFirth,0.97
OuterDowsing,MorayFirth,0.97
SorligeNordsjoI,MorayFirth,0.97
SorligeNordsjoII,MorayFirth,0.97
UtsiraNord,MorayFirth,0.97
Belgium,Netherlands,0.97
Borssele,Netherlands,0.97
Denmark,Netherlands,0.97
Germany,Netherlands,0.97
GreatBrit.,Netherlands,0.97
HelgolanderBucht,Netherlands,0.97
HollandseeKust,Netherlands,0.97
NO2,Netherlands,0.97
NO2,NO1,0.97
NO3,NO1,0.97
NO5,NO1,0.97
Sweden,NO1,0.97
Denmark,NO2,0.97
Germany,NO2,0.97
GreatBrit.,NO2,0.97
Netherlands,NO2,0.97
NO1,NO2,0.97
NO5,NO2,0.97
SorligeNordsjoI,NO2,0.97
SorligeNordsjoII,NO2,0.97
UtsiraNord,NO2,0.97
NO1,NO3,0.97
NO4,NO3,0.97
NO5,NO3,0.97
Sweden,NO3,0.97
Finland,NO4,0.97
NO3,NO4,0.97
Sweden,NO4,0.97
GreatBrit.,NO5,0.97
NO1,NO5,0.97
NO2,NO5,0.97
NO3,NO5,0.97
Borssele,Nordsoen,0.97
Denmark,Nordsoen,0.97
DoggerBank,Nordsoen,0.97
EastAnglia,Nordsoen,0.97
FirthofForth,Nordsoen,0.97
HelgolanderBucht,Nordsoen,0.97
HollandseeKust,Nordsoen,0.97
Hornsea,Nordsoen,0.97
MorayFirth,Nordsoen,0.97
Norfolk,Nordsoen,0.97
OuterDowsing,Nordsoen,0.97
SorligeNordsjoI,Nordsoen,0.97
SorligeNordsjoII,Nordsoen,0.97
UtsiraNord,Nordsoen,0.97
Borssele,Norfolk,0.97
DoggerBank,Norfolk,0.97
EastAnglia,Norfolk,0.97
FirthofForth,Norfolk,0.97
GreatBrit.,Norfolk,0.97
HelgolanderBucht,Norfolk,0.97
HollandseeKust,Norfolk,0.97
Hornsea,Norfolk,0.97
MorayFirth,Norfolk,0.97
Nordsoen,Norfolk,0.97
OuterDowsing,Norfolk,0.97
SorligeNordsjoI,Norfolk,0.97
SorligeNordsjoII,Norfolk,0.97
UtsiraNord,Norfolk,0.97
Borssele,OuterDowsing,0.97
DoggerBank,OuterDowsing,0.97
EastAnglia,OuterDowsing,0.97
FirthofForth,OuterDowsing,0.97
GreatBrit.,OuterDowsing,0.97
HelgolanderBucht,OuterDowsing,0.97
HollandseeKust,OuterDowsing,0.97
Hornsea,OuterDowsing,0.97
MorayFirth,OuterDowsing,0.97
Nordsoen,OuterDowsing,0.97
Norfolk,OuterDowsing,0.97
SorligeNordsjoI,OuterDowsing,0.97
SorligeNordsjoII,OuterDowsing,0.97
UtsiraNord,OuterDowsing,0.97
CzechR,Poland,0.97
Denmark,Poland,0.97
Germany,Poland,0.97
Lithuania,Poland,0.97
Slovakia,Poland,0.97
Sweden,Poland,0.97
Spain,Portugal,0.97
Bulgaria,Romania,0.97
Hungary,Romania,0.97
Serbia,Romania,0.97
BosniaH,Serbia,0.97
Bulgaria,Serbia,0.97
Croatia,Serbia,0.97
Hungary,Serbia,0.97
Macedonia,Serbia,0.97
Romania,Serbia,0.97
Austria,Slovakia,0.97
CzechR,Slovakia,0.97
Hungary,Slovakia,0.97
Poland,Slovakia,0.97
Austria,Slovenia,0.97
Croatia,Slovenia,0.97
Hungary,Slovenia,0.97
Italy,Slovenia,0.97
Borssele,SorligeNordsjoI,0.97
DoggerBank,SorligeNordsjoI,0.97
EastAnglia,SorligeNordsjoI,0.97
FirthofForth,SorligeNordsjoI,0.97
HelgolanderBucht,SorligeNordsjoI,0.97
HollandseeKust,SorligeNordsjoI,0.97
Hornsea,SorligeNordsjoI,0.97
MorayFirth,SorligeNordsjoI,0.97
NO2,SorligeNordsjoI,0.97
Nordsoen,SorligeNordsjoI,0.97
Norfolk,SorligeNordsjoI,0.97
OuterDowsing,SorligeNordsjoI,0.97
SorligeNordsjoII,SorligeNordsjoI,0.97
UtsiraNord,SorligeNordsjoI,0.97
Borssele,SorligeNordsjoII,0.97
DoggerBank,SorligeNordsjoII,0.97
EastAnglia,SorligeNordsjoII,0.97
FirthofForth,SorligeNordsjoII,0.97
HelgolanderBucht,SorligeNordsjoII,0.97
HollandseeKust,SorligeNordsjoII,0.97
Hornsea,SorligeNordsjoII,0.97
MorayFirth,SorligeNordsjoII,0.97
NO2,SorligeNordsjoII,0.97
Nordsoen,SorligeNordsjoII,0.97
Norfolk,SorligeNordsjoII,0.97
OuterDowsing,SorligeNordsjoII,0.97
SorligeNordsjoI,SorligeNordsjoII,0.97
UtsiraNord,SorligeNordsjoII,0.97
France,Spain,0.97
Ireland,Spain,0.97
Portugal,Spain,0.97
Denmark,Sweden,0.97
Estonia,Sweden,0.97
Finland,Sweden,0.97
Germany,Sweden,0.97
Latvia,Sweden,0.97
Lithuania,Sweden,0.97
NO1,Sweden,0.97
NO3,Sweden,0.97
NO4,Sweden,0.97
Poland,Sweden,0.97
Austria,Switzerland,0.97
France,Switzerland,0.97
Germany,Switzerland,0.97
Italy,Switzerland,0.97
Borssele,UtsiraNord,0.97
DoggerBank,UtsiraNord,0.97
EastAnglia,UtsiraNord,0.97
FirthofForth,UtsiraNord,0.97
HelgolanderBucht,UtsiraNord,0.97
HollandseeKust,UtsiraNord,0.97
Hornsea,UtsiraNord,0.97
MorayFirth,UtsiraNord,0.97
NO2,UtsiraNord,0.97
Nordsoen,UtsiraNord,0.97
Norfolk,UtsiraNord,0.97
OuterDowsing,UtsiraNord,0.97
SorligeNordsjoI,UtsiraNord,0.97
SorligeNordsjoII,UtsiraNord,0.97
