Nodes.1,Period.1,EU_reference_scenario_2016,GENeSYS-MOD_Gradual_Development,EU_reference_scenario_2020,TYNDP22
Belgium,8,130482866.22066946,141509685.394149,105165509.721323,260587888.396316
BosniaH,8,17373502.096317284,38831420.408513,14363537.0778841,14448117.87049
Bulgaria,8,39933432.3483007,85865977.8188765,33410737.6675532,65911413.6496666
Croatia,8,24975801.804673713,32095462.0173041,19276423.3909599,36032391.60672
CzechR,8,93703505.08558087,144523107.213722,74504067.1362448,149672294.463236
Denmark,8,53900105.245587096,90256007.0294919,51881024.7171264,109918011.724666
Estonia,8,10832677.6385556,19549537.0277058,10906152.9393126,12250315.9291633
Finland,8,113434377.55623865,138078074.436803,101242431.180059,216483776.397196
France,8,641124363.1163174,961702246.790573,430383305.853565,862417408.563366
Germany,8,692087193.1543936,1210014522.54667,619020456.669813,1562858160.63054
GreatBrit.,8,517761919.34304875,674602881.533882,438011934.549329,927374883.725519
Greece,8,65152072.78698791,234964552.009422,69536125.0324193,128478724.293379
Hungary,8,57091147.51426903,88950155.1145633,52906609.8112951,120124131.576346
Ireland,8,40951726.482825726,83012828.0213477,49384743.4350852,87517626.88771
Italy,8,432290113.7406831,617042216.858684,343364360.05472,780202182.438886
Latvia,8,11942490.04458734,21069811.2432695,8956684.98230077,21118390.4986933
Lithuania,8,14365890.683150113,35008569.9699696,12166542.9741441,29946156.4334266
Luxemb.,8,12881843.352636097,11086072.2958146,7427960.93421391,6199963.66787
Macedonia,8,12826259.74504249,19415710.2042565,7768652.74136617,10766212.2289233
Netherlands,8,150220317.49299133,240593768.437324,149206802.658233,402793727.509086
NO1,8,44550000.0,46891769.8340716,42356991.5765931,42356991.5765931
NO2,8,44550000.0,46891769.8340716,55421580.4642383,55421580.4642383
NO3,8,33000000.0,34734644.3215345,34066679.0021181,34066679.0021181
NO4,8,23100000.000000004,24314251.0250741,29225399.2812743,29225399.2812743
NO5,8,19800000.0,20840786.5929207,28929349.6757759,28929349.6757759
Poland,8,242290683.7258947,428975151.971178,197767445.471841,380533325.47916
Portugal,8,63814408.39213615,121391946.226161,56063286.7581575,104753933.942563
Romania,8,82024207.61071979,238938686.119367,68673435.3962117,166031313.061296
Serbia,8,57030660.50991501,97078551.0212827,36072202.2149728,47456554.6084866
Slovakia,8,41277911.9960053,63865012.6220629,32889499.4965436,69059474.88006
Slovenia,8,21863859.60255399,28882849.6514074,19239531.0979081,31964860.9787766
Spain,8,341307744.4709629,874487705.51563,275131026.650042,584994631.834533
Sweden,8,194322357.3564245,258733022.875156,138229770.238818,243378192.635443
Switzerland,8,73269847.22096226,97421229.6198845,76000000.0,75839512.3034966
