Nodes,StorageTypes,Period,InitialPowerCapacity
Lithuania,HydroPumpStorage,7,900.0
Luxemb.,HydroPumpStorage,7,1296.0
NO1,HydroPumpStorage,7,180.44
NO2,HydroPumpStorage,7,458.04
NO3,HydroPumpStorage,7,208.2
NO4,HydroPumpStorage,7,249.84
NO5,HydroPumpStorage,7,291.47999999999996
Poland,HydroPumpStorage,7,1776.0
Portugal,HydroPumpStorage,7,2820.0
Romania,HydroPumpStorage,7,357.0
Serbia,HydroPumpStorage,7,614.0
Sweden,HydroPumpStorage,7,100.0
Slovakia,HydroPumpStorage,7,1016.0
Austria,HydroPumpStorage,8,4218.0
BosniaH,HydroPumpStorage,8,335.0
Belgium,HydroPumpStorage,8,1308.0
Bulgaria,HydroPumpStorage,8,1054.0
Switzerland,HydroPumpStorage,8,1864.0
CzechR,HydroPumpStorage,8,1172.0
Germany,HydroPumpStorage,8,5294.0
Spain,HydroPumpStorage,8,6402.0
France,HydroPumpStorage,8,2455.0
GreatBrit.,HydroPumpStorage,8,2744.0
Greece,HydroPumpStorage,8,699.0
Croatia,HydroPumpStorage,8,281.0
Hungary,HydroPumpStorage,8,28.0
Ireland,HydroPumpStorage,8,292.0
Italy,HydroPumpStorage,8,8768.0
Lithuania,HydroPumpStorage,8,900.0
Luxemb.,HydroPumpStorage,8,1296.0
NO1,HydroPumpStorage,8,180.44
NO2,HydroPumpStorage,8,458.04
NO3,HydroPumpStorage,8,208.2
NO4,HydroPumpStorage,8,249.84
NO5,HydroPumpStorage,8,291.47999999999996
Poland,HydroPumpStorage,8,1776.0
Portugal,HydroPumpStorage,8,2820.0
Romania,HydroPumpStorage,8,357.0
Serbia,HydroPumpStorage,8,614.0
Sweden,HydroPumpStorage,8,100.0
Slovakia,HydroPumpStorage,8,1016.0
Slovenia,HydroPumpStorage,2,180.0
Slovenia,HydroPumpStorage,3,180.0
Slovenia,HydroPumpStorage,4,180.0
Slovenia,HydroPumpStorage,5,180.0
Slovenia,HydroPumpStorage,6,180.0
Slovenia,HydroPumpStorage,7,180.0
Slovenia,HydroPumpStorage,8,180.0
